method,split,start,last_sample,end_exclusive_estimated,n_samples,estimated_minutes,dominant_increase_metric,max_score,rtt_ms,jitter_ms,loss_rate,dns_latency_ms,http_latency_ms
baseline,train,2026-09-01 12:17:30+07:00,2026-09-01 12:22:30+07:00,2026-09-01 12:23:00+07:00,11,5.5,http_latency_ms,0.5856855132273201,78.2127090909091,4.670327272727273,0.1,76.19905454545454,796.2154818181818
baseline,train,2026-09-01 20:09:00+07:00,2026-09-01 22:04:30+07:00,2026-09-01 22:05:00+07:00,232,116.0,http_latency_ms,0.6776129561288583,141.3713952586207,16.668665086206897,0.10581896551724138,148.57142284482757,1479.9170594827588
baseline,test,2026-09-02 11:41:00+07:00,2026-09-02 11:44:30+07:00,2026-09-02 11:45:00+07:00,8,4.0,http_latency_ms,0.5665891006413297,87.4170625,7.871787500000001,0.075,85.86355,919.3342875000001
baseline,test,2026-09-02 11:46:30+07:00,2026-09-02 12:10:00+07:00,2026-09-02 12:10:30+07:00,48,24.0,http_latency_ms,0.5606955588266103,106.01655833333332,10.380333333333333,0.06510416666666667,112.365325,1132.52864375
baseline,test,2026-09-02 20:08:00+07:00,2026-09-02 22:05:00+07:00,2026-09-02 22:05:30+07:00,235,117.5,http_latency_ms,0.6766289337798467,141.8768455319149,17.597288936170216,0.10829787234042551,148.5671740425532,1477.6112727659577
baseline,test,2026-09-03 11:43:00+07:00,2026-09-03 12:15:30+07:00,2026-09-03 12:16:00+07:00,66,33.0,http_latency_ms,0.5680370858322293,102.92236666666668,11.061278787878788,0.07121212121212121,107.0580893939394,1083.100409090909
baseline,test,2026-09-03 20:07:30+07:00,2026-09-03 22:03:00+07:00,2026-09-03 22:03:30+07:00,232,116.0,http_latency_ms,0.6446852806910163,139.61853706896554,16.471029741379308,0.09956896551724138,149.31045129310343,1475.7844327586208
baseline,test,2026-09-04 11:43:30+07:00,2026-09-04 12:10:00+07:00,2026-09-04 12:10:30+07:00,54,27.0,http_latency_ms,0.5577103706384328,104.18985185185186,10.265077777777778,0.06064814814814813,110.08361851851853,1114.2307092592591
baseline,test,2026-09-04 20:07:00+07:00,2026-09-04 22:02:30+07:00,2026-09-04 22:03:00+07:00,232,116.0,http_latency_ms,0.6788536609609659,139.3548754310345,17.938741379310347,0.09956896551724138,149.53589525862066,1482.6940724137933
baseline,test,2026-09-05 20:06:30+07:00,2026-09-05 22:01:30+07:00,2026-09-05 22:02:00+07:00,231,115.5,http_latency_ms,0.6362542899400282,135.95784285714288,15.477905194805194,0.10919913419913417,144.0242025974026,1462.0597082251084
baseline,test,2026-09-06 20:06:00+07:00,2026-09-06 22:00:30+07:00,2026-09-06 22:01:00+07:00,230,115.0,http_latency_ms,0.6528282679761239,137.93746304347823,17.537935217391308,0.09771739130434781,145.0021686956522,1466.3140230434783
